tot,wh,afam,amin,as,hw,ot,combo1,combo2,combo3,tract,simpsons,gini-simp
4050,2766,100,0,960,0,72,152,0,152,231.0,0.5263678097850938,0.4736321902149062
6645,2598,28,0,3826,0,11,182,62,120,232.01,0.4855544175455106,0.5144455824544893
4493,2241,563,12,1353,0,130,194,0,194,232.02,0.3597343524553787,0.6402656475446213
6410,4818,6,53,1141,0,242,150,47,103,233.0,0.5989990289159148,0.40100097108408517
3717,2054,79,21,1282,2,40,239,0,239,234.01,0.433188292287347,0.566811707712653
4245,3077,15,1,860,16,28,248,27,221,234.03,0.5726889391107948,0.42731106088920523
3444,2988,24,0,351,0,8,73,0,73,234.04,0.7640619751767451,0.23593802482325488
3610,2104,114,9,992,0,56,335,0,335,235.0,0.43366326225243823,0.5663367377475618
3952,2173,192,12,1206,0,22,347,9,338,236.01,0.41288676414545405,0.5871132358545459
6381,2869,263,0,2740,0,291,218,43,175,236.03,0.39228199136968317,0.6077180086303169
6544,2723,442,40,2045,232,752,310,33,277,236.04,0.2939235664839402,0.7060764335160599
4326,2932,45,0,1019,0,81,249,83,166,237.0,0.5204591938261464,0.47954080617385364
2586,1514,11,14,929,0,14,104,11,93,238.01,0.47482398230940714,0.5251760176905929
4909,2513,58,0,2061,0,20,257,18,239,238.03,0.44360624726718056,0.5563937527328194
6478,3358,315,0,2545,0,19,241,19,222,238.04,0.4279928951348478,0.5720071048651523
7117,5354,82,15,1350,0,6,310,0,310,239.0,0.6058435879601173,0.3941564120398827
7868,4842,32,0,2238,0,18,738,50,688,240.0,0.47613669522722285,0.5238633047727772
4807,3864,20,7,753,4,5,154,4,150,241.0,0.6726991603370873,0.3273008396629127
3165,2291,19,0,650,0,15,190,0,190,242.0,0.5734090029923457,0.42659099700765435
8445,6021,276,0,1854,0,6,288,0,288,243.0,0.5599125466528273,0.4400874533471727
2669,2074,63,0,435,0,34,63,11,52,244.0,0.6320743235019679,0.3679256764980321
5020,3880,74,0,785,0,9,272,0,272,245.0,0.6279324931350296,0.37206750686497037
4591,3593,0,1,741,51,1,204,0,204,246.01,0.6426144339964914,0.35738556600350857
3742,2970,32,0,717,0,0,23,0,23,246.02,0.6668115210899944,0.3331884789100056
3988,2416,293,54,1111,0,49,65,11,54,247.01,0.4508136369992626,0.5491863630007374
7720,5093,385,24,1593,0,104,521,0,521,247.02,0.4895902742355499,0.5104097257644501
5997,3059,179,108,1528,0,589,534,15,519,248.0,0.35139666993187546,0.6486033300681245
5025,2534,13,14,2249,35,1,179,0,179,249.01,0.45720967302789545,0.5427903269721046
3957,2508,78,0,947,0,20,404,68,336,249.02,0.47733842624232736,0.5226615737576726
6917,3743,6,0,2951,0,0,217,0,217,249.03,0.4768046175214243,0.5231953824785758
4975,3350,88,20,1190,0,102,225,33,192,250.01,0.5149658240953512,0.4850341759046488
6999,4445,39,17,2141,3,56,298,101,197,250.03,0.49983004328114056,0.5001699567188594
4803,2898,79,0,1515,0,45,266,23,243,250.05,0.4695616925867304,0.5304383074132696
6097,3688,307,0,1811,0,15,276,0,276,250.06,0.46075653163797803,0.539243468362022
6155,3723,467,16,1236,21,304,388,0,388,251.01,0.4223604804399744,0.5776395195600257
7810,3958,399,151,2257,29,203,813,143,670,251.02,0.36255076963937044,0.6374492303606296
8159,5129,472,13,1704,40,371,430,49,381,252.0,0.4492299233335568,0.5507700766664432
6037,4165,224,25,1125,0,98,400,13,387,253.01,0.5208670819055228,0.4791329180944772
5277,2774,964,11,717,160,461,190,0,190,253.02,0.3393182373412691,0.6606817626587309
7636,3531,667,80,1712,111,876,659,47,612,254.0,0.29911464360185175,0.7008853563981483
5077,2940,432,29,1051,0,557,68,15,53,255.0,0.39779644799611297,0.6022035520038871
5284,2223,274,0,1549,165,729,344,71,273,256.01,0.2927143975413758,0.7072856024586243
6130,3890,59,13,1712,0,142,314,113,201,256.02,0.4853679787316144,0.5146320212683856
5640,3063,934,57,860,41,190,495,12,483,257.01,0.36194774533474167,0.6380522546652583
3535,2000,293,0,926,1,71,244,23,221,257.02,0.4047040606263092,0.5952959393736907
4884,2791,509,26,538,61,622,337,17,320,258.03,0.37502930392979533,0.6249706960702046
3888,2040,402,0,676,12,403,355,0,355,258.04,0.3436488525419567,0.6563511474580432
4878,2215,471,48,1205,121,328,490,63,427,258.05,0.2996870251605346,0.7003129748394654
4993,1706,835,42,1726,274,11,399,53,346,258.06,0.27859648410638904,0.721403515893611
5794,2146,1072,35,1896,0,358,287,142,145,260.01,0.2860333121678849,0.7139666878321151
8695,2792,2636,10,2245,3,120,889,53,836,260.02,0.2816067214241758,0.7183932785758242
7495,1976,2074,47,2634,94,240,430,0,430,261.0,0.27739111820599993,0.7226088817940001
5685,2405,1031,91,830,0,313,1015,111,904,262.0,0.29400141866025564,0.7059985813397444
