yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,category1Code,languages,originalLang,combinedName
2019,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,English,Catherine Burns
2007,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,English,Lex Williford
1946,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Classics,Classics,CL,English,English,Nathaniel Hawthorne
1960,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Classics,Classics,CL,English,Akkadian,Anonymous
2014,1,1,0,Columbia City,ColumbiaCity3,Fiction,Young Adult,Comedy,Comedy,COM,English,English,Rachel Renée Russell
2014,1,1,0,Columbia City,ColumbiaCity3,Fiction,Young Adult,Comedy,Comedy,COM,English,English,Rachel Renée Russell
1999,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Diane Warner
2011,1,0,0,Columbia City,ColumbiaCity3,Fiction,Young Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Matthew Quick
1970,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Drama,Drama,DR,English,,Sophocles
1988,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Ivan Doig
2017,1,1,0,Columbia City,ColumbiaCity3,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Yaa Gyasi
1993,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,History,History,H,English,English,Bill Morgan
1981,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,History,History,H,,Latin,Julius Caesar
2013,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Mystery,Mystery,MYS,English,English,Ellery Queen
2004,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Mystery,Mystery,MYS,English,English,Dick Francis
2010,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,NU,English,English,Wendy Mass
1986,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,NU,English,English,Judy Blume
2008,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,NU,English,English,Liz Kessler
2011,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,NU,English,English,Wendy Mass
1990,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,NU,English,English,Colleen O'Shaughnessy McKenna
1981,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,NU,,English,Sharon Nastick
2007,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,NU,English,English,Judy Blume
1981,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,NU,English,English,Beverly Cleary
2015,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,Religion,Religion,R,English,English,C. S. Lewis
2011,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,John Medina
2018,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Suspense,Suspense,SUS,English,English,Dan Brown
2018,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Suspense,Suspense,SUS,English,English,Dan Brown
2003,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Suspense,Suspense,SUS,English,English,Dan Brown
2007,1,0,0,Columbia City,ColumbiaCity4,Fiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,English,Harry Mark Petrakis
