yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,languages,originalLang
2016,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
1976,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2009,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2012,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2014,1,0,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2014,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
1987,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Childrens,Null,Null,English,English
1987,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Childrens,Null,Null,English,English
1987,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2017,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2017,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2000,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
1985,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
1993,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2015,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
1974,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,
2003,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,,English
1981,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2006,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2018,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2005,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2004,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2008,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2005,1,1,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
1999,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2001,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
1999,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,
1959,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2008,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,
2003,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
1978,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2003,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
1979,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
1964,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Religion,Null,English,English
2003,1,0,0,Phinney-Greenwood,Phinney-Green5,Fiction,Childrens,Null,Null,English,English
2000,1,0,0,Phinney-Greenwood,Phinney-Green5,Fiction,Childrens,Null,Null,English,English
1999,1,0,0,Phinney-Greenwood,Phinney-Green5,Fiction,Childrens,Null,Null,English,English
2007,1,0,0,Phinney-Greenwood,Phinney-Green5,Fiction,Childrens,Religion,Null,English,English
2018,1,0,1,Phinney-Greenwood,Phinney-Green5,Fiction,Childrens,Null,Null,English,
2009,1,0,0,Queen Anne,QueenAnne1,Fiction,Childrens,Null,Null,English,English
2003,1,1,0,Queen Anne,QueenAnne1,Fiction,Childrens,Null,Null,English,English
2015,1,0,0,Queen Anne,QueenAnne1,Fiction,Childrens,Null,Null,English,English
2003,1,0,0,Queen Anne,QueenAnne1,Fiction,Childrens,Null,Null,English,English
2014,1,1,0,Queen Anne,QueenAnne1,Fiction,Childrens,Null,Null,,
2003,1,0,0,Queen Anne,QueenAnne1,Fiction,Childrens,Null,Null,English,English
2003,1,0,1,Queen Anne,QueenAnne1,Fiction,Childrens,Null,Null,English,
2003,1,0,1,Queen Anne,QueenAnne1,Fiction,Childrens,Null,Null,English,
2007,1,0,0,Queen Anne,QueenAnne2,Fiction,Childrens,Null,Null,English,English
2007,1,0,0,Queen Anne,QueenAnne2,Fiction,Childrens,Null,Null,English,English
1993,1,0,0,Queen Anne,QueenAnne2,Fiction,Childrens,Null,Null,English,English
2009,1,0,0,Queen Anne,QueenAnne2,Nonfiction,Childrens,Null,Null,English,English
1990,1,0,0,Queen Anne,QueenAnne2,Nonfiction,Childrens,Null,Null,English,English
1976,1,0,0,Queen Anne,QueenAnne2,Fiction,Childrens,Null,Null,English,English
1983,1,0,0,Queen Anne,QueenAnne3,Fiction,Childrens,Null,Null,English,English
1969,1,0,0,Queen Anne,QueenAnne3,Fiction,Childrens,Null,Null,English,English
1987,1,0,0,Queen Anne,QueenAnne3,Fiction,Childrens,Null,Null,English,English
2004,1,0,0,Queen Anne,QueenAnne4,Nonfiction,Childrens,Null,Null,English,English
2002,1,1,0,Queen Anne,QueenAnne5,Fiction,Childrens,Null,Null,,
1984,1,0,0,Queen Anne,QueenAnne5,Fiction,Childrens,Null,Null,English,English
2003,1,0,0,Queen Anne,QueenAnne5,Fiction,Childrens,Null,Null,English,English
1993,1,0,0,Queen Anne,QueenAnne5,Nonfiction,Childrens,Null,Null,English,English
2010,1,0,0,Queen Anne,QueenAnne5,Fiction,Childrens,Null,Null,English,English
2001,1,0,0,Queen Anne,QueenAnne5,Fiction,Childrens,Null,Null,English,English
2014,1,0,0,Queen Anne,QueenAnne5,Fiction,Childrens,Null,Null,English,English
2015,1,1,0,Queen Anne,QueenAnne5,Fiction,Childrens,Religion,Null,English,English
2003,1,0,0,Ravenna,Ravenna1,Fiction,Childrens,Null,Null,English,English
2011,1,0,0,Ravenna,Ravenna1,Fiction,Childrens,Null,Null,English,English
2015,1,0,0,Ravenna,Ravenna1,Fiction,Childrens,Null,Null,English,English
2010,1,0,0,Ravenna,Ravenna1,Fiction,Childrens,Null,Null,English,English
1992,1,0,0,Ravenna,Ravenna3,Fiction,Childrens,Null,Null,English,English
1991,1,0,0,Ravenna,Ravenna3,Fiction,Childrens,Null,Null,English,English
2015,1,0,0,Ravenna,Ravenna5,Fiction,Childrens,Null,Null,English,English
1990,1,0,0,Ravenna,Ravenna5,Fiction,Childrens,Null,Null,English,English
1990,1,0,0,Ravenna,Ravenna5,Fiction,Childrens,Null,Null,English,English
2006,1,0,0,Ravenna,Ravenna5,Fiction,Childrens,Null,Null,English,English
2010,1,0,0,Central District,CentralDistrict4,Fiction,Young Adult,SciFi/Fantasy,Null,English,English
2005,1,0,0,Central District,CentralDistrict4,Fiction,Young Adult,SciFi/Fantasy,Null,English,English
2011,1,0,0,Columbia City,ColumbiaCity3,Fiction,Young Adult,Novel,Null,English,English
2014,1,1,0,Columbia City,ColumbiaCity3,Fiction,Young Adult,Novel,Null,English,English
2014,1,1,0,Columbia City,ColumbiaCity3,Fiction,Young Adult,Novel,Null,English,English
2017,1,0,0,Columbia City,ColumbiaCity4,Fiction,Young Adult,Novel,Null,English,English
2008,1,0,0,Columbia City,ColumbiaCity4,Fiction,Young Adult,SciFi/Fantasy,Null,English,English
2007,1,0,0,Columbia City,ColumbiaCity4,Fiction,Young Adult,SciFi/Fantasy,Null,English,English
2009,1,0,0,Columbia City,ColumbiaCity4,Fiction,Young Adult,SciFi/Fantasy,Null,English,English
2011,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Young Adult,novel,Null,English,English
1988,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Young Adult,Novel,Null,English,English
1994,1,0,0,Laurelhurst,Laurelhurst5,Nonfiction,Young Adult,History,Null,English,English
1985,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Young Adult,Novel,Null,English,English
1989,1,0,0,Montlake,Montlake5,Fiction,Young Adult,Sports,Null,English,English
2015,1,0,0,Montlake,Montlake6,Fiction,Young Adult,Novel,Null,English,English
2013,1,0,0,Montlake,Montlake6,Fiction,Young Adult,SciFi/Fantasy,Null,"English, French",English
1997,1,0,0,Northgate,Northgate1,Fiction,Young Adult,History,Null,English,English
1995,1,0,0,Northgate,Northgate1,Fiction,Young Adult,Mystery,Null,English,English
2015,1,1,0,Northgate,Northgate2,Fiction,Young Adult,Novel,Null,English,English
2018,1,0,0,Northgate,Northgate5,Fiction,Young Adult,Mystery,Null,English,English
1961,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Young Adult,Novel,Null,English,
1992,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Young Adult,Novel,Null,English,
1999,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Young Adult,Novel,Null,English,English
2005,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Young Adult,Anthology/Essays/Short stories,Null,English,English
1990,1,1,0,Phinney-Greenwood,Phinney-Green4,Fiction,Young Adult,Novel,Null,English,English
2012,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Young Adult,SciFi/Fantasy,Null,English,English
2007,1,0,0,Phinney-Greenwood,Phinney-Green5,Fiction,Young Adult,SciFi/Fantasy,Null,English,Undetermined
2006,1,0,0,Phinney-Greenwood,Phinney-Green5,Fiction,Young Adult,SciFi/Fantasy,Null,English,
1991,1,0,0,Queen Anne,QueenAnne1,Fiction,Young Adult,Novel,Null,English,English
2018,1,0,0,Queen Anne,QueenAnne3,Fiction,Young Adult,Novel,Null,English,English
2010,1,0,0,Ravenna,Ravenna1,Fiction,Young Adult,SciFi/Fantasy,Null,English,English
2009,1,0,0,Ravenna,Ravenna2,Fiction,Young Adult,Novel,Null,English,English
2009,1,0,0,Ravenna,Ravenna2,Fiction,Young Adult,Novel,Null,English,English
2018,1,0,0,Ravenna,Ravenna2,Fiction,Young Adult,SciFi/Fantasy,Null,English,English
2001,1,0,0,Ravenna,Ravenna3,Fiction,Young Adult,SciFi/Fantasy,Novel,English,English
2002,1,0,0,Ravenna,Ravenna5,Fiction,Young Adult,Mystery,Null,English,English
2005,1,0,0,Ravenna,Ravenna5,Fiction,Young Adult,SciFi/Fantasy,Null,English,English
2003,1,0,0,Ravenna,Ravenna6,Fiction,Young Adult,SciFi/Fantasy,Null,English,English
