yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,languages,originalLang
1998,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
1998,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
1998,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
2012,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,,English
1998,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
2006,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
2006,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
2006,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
2010,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
1996,1,0,0,Montlake,Montlake2,Fiction,Adult,Mystery,Null,English,English
1985,1,0,0,Montlake,Montlake2,Fiction,Adult,Poetry,Null,English,Swedish
2003,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Self Help/Health,Null,English,English
1982,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Self Help/Health,Null,English,English
1983,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Self Help/Health,Null,English,English
2003,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1963,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,
1988,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Cookery,Null,English,English
1997,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Cookery,Null,English,English
2008,1,0,0,Montlake,Montlake4,Fiction,Adult,Mystery,Null,English,English
2004,1,0,0,Montlake,Montlake4,Fiction,Adult,Mystery,Null,English,English
1996,1,0,0,Montlake,Montlake4,Fiction,Adult,Mystery,Null,English,English
2014,1,0,0,Montlake,Montlake4,Fiction,Adult,Mystery,Null,English,English
2013,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Nature/Gardening,Null,English,English
1992,1,1,0,Montlake,Montlake4,Fiction,Adult,Novel,Cultural Studies,English,Arabic
2007,1,0,0,Montlake,Montlake4,Fiction,Adult,Novel,Null,English,English
1998,1,0,0,Montlake,Montlake4,Fiction,Adult,Novel,Null,English,English
1990,1,0,0,Montlake,Montlake4,Fiction,Adult,Novel,Null,English,English
1990,1,0,0,Montlake,Montlake4,Fiction,Adult,Novel,Null,English,English
2018,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Novel,Null,English,English
2016,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Self Help/Health,Null,English,English
1992,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Self Help/Health,Null,English,English
1986,1,0,0,Montlake,Montlake4,Fiction,Adult,Sports,Null,English,English
1999,1,0,0,Montlake,Montlake4,Fiction,Adult,Thriller/Suspense,Null,English,English
1991,1,0,0,Montlake,Montlake5,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
1976,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Art,Null,English,English
2009,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2012,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Business/Technology,Null,English,English
2002,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Cookery,Null,French,French
1986,1,0,0,Montlake,Montlake5,Nonfiction,Adult,History,Null,English,English
2013,1,0,0,Montlake,Montlake5,Nonfiction,Adult,History,Null,English,English
