neighborhood_x,isbn,neighborhood_y
Columbia City,,
Columbia City,,
Montlake,,
Montlake,,
Montlake,,
Montlake,,
Montlake,,
Montlake,,
Montlake,,
Montlake,,
Montlake,,
Montlake,,
Montlake,,
Montlake,,
Montlake,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Northgate,,
Phinney-Greenwood,,
Phinney-Greenwood,,
Phinney-Greenwood,,
Phinney-Greenwood,,
Phinney-Greenwood,,
Phinney-Greenwood,,
Phinney-Greenwood,,
Phinney-Greenwood,,
Phinney-Greenwood,,
Phinney-Greenwood,,
Phinney-Greenwood,,
Phinney-Greenwood,,
Phinney-Greenwood,,
Queen Anne,,
Queen Anne,,
Queen Anne,,
Ravenna,,
Ravenna,,
