#Caste is Not a Rumour: The Online Diary of Rohith Vemula,Rohith Vemula,https://www.goodreads.com/author/show/15609828.Rohith_Vemula,3.97,34,https://goodreads.com/book/show/31443092-caste-is-not-a-rumour
"Angels' Blood  (Guild Hunter, #1)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.1,73091,https://goodreads.com/book/show/7307504-angels-blood
"Angels' Blood (Guild Hunter, #1)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.1,73080,https://goodreads.com/book/show/3819326-angels-blood
"Angels' Flight (Guild Hunter, #0.4, #0.6, #0.8, #3.5)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.33,12682,https://goodreads.com/book/show/9738582-angels-flight
Anger Is a Gift,Mark Oshiro,https://www.goodreads.com/author/show/5183642.Mark_Oshiro,4,3575,https://goodreads.com/book/show/36142487-anger-is-a-gift
"Anna K: A Love Story (Anna K, #1)",Jenny Lee,https://www.goodreads.com/author/show/120673.Jenny_Lee,3.67,5154,https://goodreads.com/book/show/45043369-anna-k
Annihilation of Caste,B.R. Ambedkar,https://www.goodreads.com/author/show/618535.B_R_Ambedkar,4.59,3385,https://goodreads.com/book/show/22551905-annihilation-of-caste
Another Brooklyn,Jacqueline Woodson,https://www.goodreads.com/author/show/74640.Jacqueline_Woodson,3.86,27538,https://goodreads.com/book/show/27213163-another-brooklyn
Another Day in the Death of America: A Chronicle of Ten Short Lives,Gary Younge,https://www.goodreads.com/author/show/10460.Gary_Younge,4.23,3734,https://goodreads.com/book/show/29502379-another-day-in-the-death-of-america
Ants Among Elephants: An Untouchable Family and the Making of Modern India,Sujatha Gidla,https://www.goodreads.com/author/show/15613155.Sujatha_Gidla,3.73,1425,https://goodreads.com/book/show/31450688-ants-among-elephants
"Archangel's Blade (Guild Hunter, #4)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.26,28775,https://goodreads.com/book/show/8074967-archangel-s-blade
"Archangel's Consort (Guild Hunter, #3)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.24,35667,https://goodreads.com/book/show/7307503-archangel-s-consort
"Archangel's Enigma (Guild Hunter, #8)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.43,14776,https://goodreads.com/book/show/17409842-archangel-s-enigma
"Archangel's Heart (Guild Hunter, #9)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.4,12786,https://goodreads.com/book/show/26218178-archangel-s-heart
"Archangel's Kiss (Guild Hunter, #2)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.23,48130,https://goodreads.com/book/show/6582637-archangel-s-kiss
"Archangel's Legion (Guild Hunter, #6)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.44,20674,https://goodreads.com/book/show/15808767-archangel-s-legion
"Archangel's Prophecy (Guild Hunter, #11)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.27,8710,https://goodreads.com/book/show/38350780-archangel-s-prophecy
"Archangel's Shadows (Guild Hunter, #7)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.31,16412,https://goodreads.com/book/show/17409835-archangel-s-shadows
"Archangel's Storm (Guild Hunter, #5)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.29,22020,https://goodreads.com/book/show/15848751-archangel-s-storm
"Archangel's Viper (Guild Hunter, #10)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.26,10532,https://goodreads.com/book/show/33852961-archangel-s-viper
"Archangel's War (Guild Hunter, #12)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.5,7601,https://goodreads.com/book/show/42599859-archangel-s-war
Aretha From These Roots,Aretha Franklin,https://www.goodreads.com/author/show/212647.Aretha_Franklin,3.13,166,https://goodreads.com/book/show/895664.Aretha_From_These_Roots
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)",Benjamin Alire Sáenz,https://www.goodreads.com/author/show/4841310.Benjamin_Alire_S_enz,4.34,236806,https://goodreads.com/book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe
