https://www.goodreads.com/list/show/96282._ReadPOC_List_of_Romance_Books_by_Authors_of_Color,,,,,
title,author,author_url,rating,voters_count,url
Half a Lifelong Romance,Eileen Chang,https://www.goodreads.com/author/show/110226.Eileen_Chang,3.96,802,https://goodreads.com/book/show/25937741-half-a-lifelong-romance
,,,,,
The Assimilated Cuban's Guide to Quantum Santeria,Carlos  Hernandez,https://www.goodreads.com/author/show/17328300.Carlos_Hernandez,4.13,531,https://goodreads.com/book/show/25362907-the-assimilated-cuban-s-guide-to-quantum-santeria
,,,,,
The Love & Lies of Rukhsana Ali,Sabina Khan,https://www.goodreads.com/author/show/9873809.Sabina_Khan,3.9,4922,https://goodreads.com/book/show/36362234-the-love-lies-of-rukhsana-ali
,,,,,
"Saints (Boxers & Saints, #2)",Gene Luen Yang,https://www.goodreads.com/author/show/68959.Gene_Luen_Yang,3.84,13356,https://goodreads.com/book/show/17210471-saints
,,,,,
A Bedtime Story for Lauren,Curious Violet,https://www.goodreads.com/author/show/18026875.Curious_Violet,0,0,https://goodreads.com/book/show/27784112-a-bedtime-story-for-lauren
,,,,,
Prodigal in the City,Louis N. Jones,https://www.goodreads.com/author/show/606234.Louis_N_Jones,4.11,18,https://goodreads.com/book/show/3814330-prodigal-in-the-city
,,,,,
No Sex in the City,Randa Abdel-Fattah,https://www.goodreads.com/author/show/45465.Randa_Abdel_Fattah,3.51,477,https://goodreads.com/book/show/15730404-no-sex-in-the-city
,,,,,
Stepping Down,Michelle Stimpson,https://www.goodreads.com/author/show/374874.Michelle_Stimpson,4.2,398,https://goodreads.com/book/show/20002658-stepping-down
,,,,,
The Unlikely Adventures of the Shergill Sisters,Balli Kaur Jaswal,https://www.goodreads.com/author/show/6924387.Balli_Kaur_Jaswal,3.79,7057,https://goodreads.com/book/show/40908064-the-unlikely-adventures-of-the-shergill-sisters
,,,,,
Daphne's Dive,Quiara Alegría Hudes,https://www.goodreads.com/author/show/1083742.Quiara_Alegr_a_Hudes,3.9,21,https://goodreads.com/book/show/29363347-daphne-s-dive
,,,,,
Giovanni's Room,James Baldwin,https://www.goodreads.com/author/show/10427.James_Baldwin,4.24,54570,https://goodreads.com/book/show/17316714-giovanni-s-room
,,,,,
A Different Kind of Blues,Gwynne Forster,https://www.goodreads.com/author/show/2517.Gwynne_Forster,4.27,49,https://goodreads.com/book/show/28691578-a-different-kind-of-blues
,,,,,
Forest of the Pygmies,Isabel Allende,https://www.goodreads.com/author/show/2238.Isabel_Allende,3.77,11068,https://goodreads.com/book/show/837665.Forest_of_the_Pygmies
,,,,,
The Border of Paradise,Esmé Weijun Wang,https://www.goodreads.com/author/show/8298504.Esm_Weijun_Wang,3.89,1044,https://goodreads.com/book/show/26196482-the-border-of-paradise
,,,,,
Before the Mayflower: A History of Black America,Lerone Bennett Jr.,https://www.goodreads.com/author/show/2917400.Lerone_Bennett_Jr_,4.44,2378,https://goodreads.com/book/show/1084995.Before_the_Mayflower
,,,,,
The Iron King (The Iron Fey #1),Julie Kagawa,https://www.goodreads.com/author/show/2995873.Julie_Kagawa,3.9,183475,https://goodreads.com/book/show/8898790-the-iron-king
,,,,,
Bhimayana,Srividya Natarajan,https://www.goodreads.com/author/show/930069.Srividya_Natarajan,4.18,355,https://goodreads.com/book/show/10820416-bhimayana
,,,,,
Maos Last Dancer,Li Cunxin,https://www.goodreads.com/author/show/6361.Li_Cunxin,4.16,24034,https://goodreads.com/book/show/5987077-maos-last-dancer
,,,,,
Gingerbread,Helen Oyeyemi,https://www.goodreads.com/author/show/80808.Helen_Oyeyemi,3.04,8118,https://goodreads.com/book/show/41852873-gingerbread
,,,,,
Parable of the Sower,Octavia E. Butler,https://www.goodreads.com/author/show/29535.Octavia_E_Butler,4.17,55238,https://goodreads.com/book/show/29093089-parable-of-the-sower
,,,,,
"Ever the Hunted (Clash of Kingdoms, #1)",Erin Summerill,https://www.goodreads.com/author/show/8171797.Erin_Summerill,3.56,8814,https://goodreads.com/book/show/24846331-ever-the-hunted
,,,,,
The Garden of Evening Mists,Tan Twan Eng,https://www.goodreads.com/author/show/13847588.Tan_Twan_Eng,4.11,18206,https://goodreads.com/book/show/13592384-the-garden-of-evening-mists
,,,,,
The Shoebox Kid,Judith Lawrence Outten,https://www.goodreads.com/author/show/19287642.Judith_Lawrence_Outten,4.33,3,https://goodreads.com/book/show/49409139-the-shoebox-kid
,,,,,
Everyday People: The Color of Life--a Short Story Anthology,Jennifer  Baker,https://www.goodreads.com/author/show/5805727.Jennifer_Baker,4.07,127,https://goodreads.com/book/show/37760817-everyday-people
,,,,,
Miael: Lovers (Miael #3),Grea Alexander,https://www.goodreads.com/author/show/6604619.Grea_Alexander,4.25,8,https://goodreads.com/book/show/43800190-miael
,,,,,
Plastic Wings (The Evie Weiss Chronicles  #1),C.T. Callahan,https://www.goodreads.com/author/show/15565091.C_T_Callahan,3.79,28,https://goodreads.com/book/show/31331627-plastic-wings
,,,,,
Vietnamerica: A Family's Journey,G.B. Tran,https://www.goodreads.com/author/show/4097010.G_B_Tran,3.92,1736,https://goodreads.com/book/show/8501710-vietnamerica
,,,,,
On Earth We're Briefly Gorgeous,Ocean Vuong,https://www.goodreads.com/author/show/4456871.Ocean_Vuong,4.06,53119,https://goodreads.com/book/show/39866294-on-earth-we-re-briefly-gorgeous
,,,,,
"What's Left of Me (The Hybrid Chronicles, #1)",Kat Zhang,https://www.goodreads.com/author/show/4774478.Kat_Zhang,3.78,15162,https://goodreads.com/book/show/11043618-what-s-left-of-me
,,,,,
The Woman Who Fell from the Sky: Poems,Joy Harjo,https://www.goodreads.com/author/show/267.Joy_Harjo,4.24,548,https://goodreads.com/book/show/96052.The_Woman_Who_Fell_from_the_Sky
,,,,,
Labyrinths:  Selected Stories and Other Writings,Jorge Luis Borges,https://www.goodreads.com/author/show/500.Jorge_Luis_Borges,4.46,27122,https://goodreads.com/book/show/17717.Labyrinths
,,,,,
A Breath of Fresh Air,Amulya Malladi,https://www.goodreads.com/author/show/58564.Amulya_Malladi,3.86,1822,https://goodreads.com/book/show/8610162-a-breath-of-fresh-air
,,,,,
A Most Peculiar Malaysian Murder (Inspector Singh Investigates #1),Shamini Flint,https://www.goodreads.com/author/show/435521.Shamini_Flint,3.59,2482,https://goodreads.com/book/show/6483054-a-most-peculiar-malaysian-murder
,,,,,
"Bird Girl and Fox Girl (Sparkplug Minis Series, #3)",Yumi Sakugawa,https://www.goodreads.com/author/show/7195747.Yumi_Sakugawa,4.5,14,https://goodreads.com/book/show/24236203-bird-girl-and-fox-girl
,,,,,
Beware Beware: A Juniper Song Mystery,Steph Cha,https://www.goodreads.com/author/show/6457876.Steph_Cha,3.95,272,https://goodreads.com/book/show/20757269-beware-beware
,,,,,
Race Pimping: The Multi-Trillion Dollar Business of Liberalism,Kevin  Jackson,https://www.goodreads.com/author/show/4859667.Kevin_Jackson,4.07,44,https://goodreads.com/book/show/23611862-race-pimping
,,,,,
