neighborhood,lflname,Adventure,Anthology/Essays/Short stories,Art,Biography/Autobiography/Memoir,Business/Technology,Childrens,Classics,Comedy,Cookery,Crafts,Domestic Fiction,Drama,Graphic/Manga,Historical Fiction,History,Literary Fiction,Music,Mystery,Nature/Gardening,Poetry,Politics,Reference,Religion,Romance,SCiFi/Fantasy,SciFi/Fantasy,Science,Self Help/Health,Sports,Suspense,Travel,Western
Phinney-Greenwood,Phinney-Green4,7.39683267624803,14.79366535249606,0.0,7.39683267624803,0.0,184.92081690620074,0.0,0.0,0.0,0.0,22.19049802874409,0.0,0.0,22.19049802874409,0.0,22.19049802874409,0.0,51.777828733736214,0.0,7.39683267624803,7.39683267624803,0.0,0.0,22.19049802874409,0.0,22.19049802874409,0.0,7.39683267624803,0.0,51.777828733736214,0.0,0.0
Phinney-Greenwood,Phinney-Green5,0.0,0.0,0.0,0.0,0.0,98.82399446585632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.470665744309386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.41199723292816,0.0,49.41199723292816,0.0,65.88266297723754,16.470665744309386,0.0
Queen Anne,QueenAnne1,0.0,0.0,0.0,8.475510013815082,0.0,76.27959012433574,0.0,0.0,8.475510013815082,0.0,8.475510013815082,0.0,8.475510013815082,8.475510013815082,0.0,0.0,0.0,8.475510013815082,0.0,0.0,0.0,8.475510013815082,0.0,8.475510013815082,0.0,0.0,0.0,0.0,0.0,16.951020027630165,0.0,0.0
Queen Anne,QueenAnne2,0.0,0.0,0.0,0.0,0.0,159.76263836585645,45.64646810453041,0.0,0.0,0.0,22.823234052265207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.64646810453041,0.0,0.0,0.0,0.0,22.823234052265207,0.0,0.0,0.0,22.823234052265207,0.0,0.0
Queen Anne,QueenAnne3,0.0,11.557486940039757,0.0,11.557486940039757,0.0,80.9024085802783,0.0,34.67246082011927,0.0,0.0,0.0,0.0,0.0,11.557486940039757,0.0,0.0,0.0,11.557486940039757,0.0,0.0,23.114973880079514,0.0,0.0,11.557486940039757,0.0,46.22994776015903,0.0,0.0,0.0,34.67246082011927,0.0,0.0
Queen Anne,QueenAnne4,0.0,14.669209329617132,0.0,14.669209329617132,14.669209329617132,44.0076279888514,44.0076279888514,0.0,0.0,0.0,14.669209329617132,14.669209329617132,14.669209329617132,0.0,0.0,0.0,0.0,58.67683731846853,0.0,0.0,0.0,0.0,0.0,44.0076279888514,0.0,14.669209329617132,0.0,14.669209329617132,0.0,73.34604664808566,0.0,0.0
Queen Anne,QueenAnne5,0.0,0.0,0.0,27.395759136485673,0.0,246.56183222837106,27.395759136485673,0.0,27.395759136485673,0.0,0.0,0.0,0.0,54.791518272971345,0.0,0.0,0.0,109.58303654594269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.791518272971345,0.0,54.791518272971345,27.395759136485673,27.395759136485673,0.0,0.0
Ravenna,Ravenna1,0.0,15.282808368865862,0.0,0.0,0.0,106.97965858206103,0.0,0.0,0.0,0.0,15.282808368865862,0.0,0.0,0.0,15.282808368865862,0.0,0.0,61.131233475463446,0.0,15.282808368865862,0.0,0.0,15.282808368865862,0.0,0.0,30.565616737731723,0.0,0.0,0.0,15.282808368865862,0.0,0.0
Ravenna,Ravenna2,0.0,15.792798483891346,0.0,15.792798483891346,0.0,0.0,0.0,0.0,0.0,0.0,47.37839545167404,0.0,0.0,0.0,0.0,0.0,15.792798483891346,142.1351863550221,15.792798483891346,15.792798483891346,15.792798483891346,0.0,0.0,157.92798483891346,0.0,63.171193935565384,15.792798483891346,0.0,0.0,31.585596967782692,0.0,0.0
Ravenna,Ravenna3,0.0,0.0,0.0,20.110001709350147,0.0,40.220003418700294,0.0,0.0,10.055000854675074,0.0,0.0,0.0,10.055000854675074,10.055000854675074,0.0,0.0,0.0,20.110001709350147,0.0,0.0,0.0,0.0,0.0,20.110001709350147,0.0,30.16500256402522,10.055000854675074,10.055000854675074,10.055000854675074,10.055000854675074,10.055000854675074,0.0
Ravenna,Ravenna4,0.0,0.0,0.0,0.0,0.0,113.79800853485064,28.44950213371266,0.0,0.0,0.0,56.89900426742532,0.0,0.0,56.89900426742532,0.0,0.0,0.0,85.34850640113798,0.0,0.0,28.44950213371266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.89900426742532,0.0,0.0
Ravenna,Ravenna5,0.0,0.0,0.0,0.0,0.0,78.23501799405413,0.0,0.0,19.558754498513533,0.0,39.117508997027066,0.0,0.0,0.0,19.558754498513533,0.0,0.0,78.23501799405413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3525269910812,0.0,39.117508997027066,0.0,19.558754498513533,0.0,0.0
Ravenna,Ravenna6,0.0,0.0,0.0,0.0,0.0,0.0,17.64726643842869,17.64726643842869,0.0,0.0,35.29453287685738,0.0,0.0,0.0,17.64726643842869,0.0,0.0,17.64726643842869,0.0,0.0,0.0,0.0,0.0,17.64726643842869,0.0,17.64726643842869,0.0,35.29453287685738,0.0,35.29453287685738,17.64726643842869,0.0
